Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","21,443","(+/-2,435)","27,614","(+/-2,856)","26,988","(+/-3,404)","22,369","(+/-1,994)","25,127","(+/-2,472)","32,585","(+/-2,915)","19,887","(+/-2,175)","26,690","(+/-3,281)","27,586","(+/-2,397)","29,794","(+/-3,480)","37,459","(+/-3,069)","23,725","(+/-2,388)","29,520","(+/-2,989)","27,748","(+/-2,723)","23,807","(+/-2,953)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","35,770","(+/-3,864)","35,943","(+/-3,060)","41,627","(+/-3,604)","41,098","(+/-3,433)","39,339","(+/-3,195)","41,283","(+/-2,878)","33,748","(+/-3,144)","35,172","(+/-3,407)","43,011","(+/-3,379)","43,349","(+/-3,642)","43,747","(+/-3,540)","34,758","(+/-3,587)","40,589","(+/-3,382)","39,132","(+/-2,944)","36,533","(+/-3,232)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","48,014","(+/-3,946)","57,901","(+/-3,905)","58,946","(+/-3,875)","52,509","(+/-3,738)","61,537","(+/-3,753)","62,950","(+/-3,277)","55,366","(+/-3,754)","56,246","(+/-4,000)","62,601","(+/-3,401)","59,370","(+/-4,070)","63,921","(+/-4,374)","50,616","(+/-3,449)","59,058","(+/-3,660)","54,595","(+/-3,608)","62,795","(+/-3,683)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","36,987","(+/-3,632)","42,371","(+/-3,456)","42,149","(+/-3,521)","44,040","(+/-3,159)","45,248","(+/-3,164)","44,369","(+/-2,861)","44,288","(+/-3,219)","47,392","(+/-3,534)","41,637","(+/-2,617)","46,216","(+/-3,468)","35,441","(+/-3,117)","41,061","(+/-3,085)","45,384","(+/-3,812)","44,300","(+/-3,046)","42,891","(+/-4,149)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","52,203","(+/-3,763)","47,423","(+/-3,115)","50,720","(+/-3,669)","56,555","(+/-3,806)","51,124","(+/-3,163)","45,091","(+/-3,037)","65,833","(+/-3,861)","52,212","(+/-3,162)","56,261","(+/-3,517)","52,103","(+/-3,589)","38,487","(+/-3,685)","50,490","(+/-3,473)","50,919","(+/-3,274)","54,081","(+/-3,584)","58,017","(+/-4,114)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","31,124","(+/-3,226)","19,122","(+/-2,121)","25,965","(+/-2,722)","23,637","(+/-2,870)","21,086","(+/-2,337)","18,165","(+/-2,048)","27,392","(+/-2,267)","27,183","(+/-3,257)","22,842","(+/-2,306)","23,986","(+/-2,335)","18,120","(+/-2,418)","27,054","(+/-2,378)","25,142","(+/-2,649)","23,687","(+/-2,453)","25,342","(+/-2,615)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","45,280","(+/-2,988)","17,163","(+/-2,189)","32,380","(+/-2,851)","27,660","(+/-2,464)","19,675","(+/-2,283)","13,188","(+/-1,576)","34,100","(+/-2,464)","23,442","(+/-2,569)","19,547","(+/-2,173)","22,316","(+/-2,461)","22,074","(+/-2,269)","23,858","(+/-2,278)","23,651","(+/-2,507)","24,221","(+/-2,488)","25,340","(+/-2,635)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","74,773","(+/-2,524)","61,589","(+/-2,119)","67,720","(+/-2,001)","72,537","(+/-2,336)","64,333","(+/-1,349)","57,817","(+/-1,524)","81,160","(+/-2,104)","72,748","(+/-2,285)","62,077","(+/-1,569)","64,173","(+/-1,585)","50,228","(+/-1,842)","69,819","(+/-2,283)","65,001","(+/-1,951)","65,214","(+/-1,941)","71,285","(+/-2,621)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","111,072","(+/-3,385)","79,538","(+/-2,302)","98,293","(+/-2,808)","95,753","(+/-2,912)","84,998","(+/-2,513)","74,173","(+/-1,875)","105,072","(+/-2,463)","94,158","(+/-3,872)","82,663","(+/-2,120)","86,154","(+/-2,504)","76,124","(+/-2,896)","93,655","(+/-3,256)","88,309","(+/-2,901)","89,288","(+/-2,389)","93,985","(+/-2,440)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","778,517","(+/-8,285)","769,786","(+/-2,647)","780,574","(+/-12,995)","780,533","(+/-4,206)","775,372","(+/-3,045)","761,685","(+/-5,756)","766,676","(+/-8,462)","774,488","(+/-8,568)","770,173","(+/-2,891)","768,111","(+/-3,086)","758,960","(+/-8,345)","784,019","(+/-6,227)","770,192","(+/-3,565)","773,501",(+/-991),"775,128","(+/-14,731)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","740,686","(+/-8,552)","723,041","(+/-5,326)","725,555","(+/-12,421)","743,874","(+/-5,795)","732,961","(+/-5,523)","719,348","(+/-6,942)","717,126","(+/-9,357)","737,823","(+/-8,958)","735,807","(+/-5,303)","724,555","(+/-5,303)","710,170","(+/-10,462)","717,691","(+/-8,147)","732,711","(+/-5,714)","726,392","(+/-5,514)","717,426","(+/-14,114)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","570,487","(+/-11,157)","489,585","(+/-11,802)","524,622","(+/-14,942)","577,677","(+/-9,136)","549,965","(+/-8,832)","478,216","(+/-8,635)","568,928","(+/-11,321)","558,385","(+/-11,722)","540,850","(+/-9,765)","516,934","(+/-10,256)","422,312","(+/-13,509)","518,065","(+/-10,216)","521,939","(+/-11,090)","530,643","(+/-9,919)","528,346","(+/-14,646)"
Socioeconomic,"Health Insurance Coverage","With public coverage","245,992","(+/-10,559)","337,510","(+/-10,902)","269,229","(+/-11,514)","276,818","(+/-7,914)","296,339","(+/-7,324)","353,013","(+/-10,068)","254,778","(+/-9,146)","280,343","(+/-10,333)","310,424","(+/-9,519)","310,524","(+/-9,772)","375,681","(+/-11,326)","298,969","(+/-8,069)","311,039","(+/-8,927)","305,096","(+/-7,343)","267,128","(+/-12,279)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","37,831","(+/-4,156)","46,745","(+/-4,994)","55,019","(+/-4,987)","36,659","(+/-3,816)","42,411","(+/-5,194)","42,337","(+/-4,513)","49,550","(+/-5,135)","36,665","(+/-4,706)","34,366","(+/-4,301)","43,556","(+/-4,563)","48,790","(+/-7,499)","66,328","(+/-6,452)","37,481","(+/-3,960)","47,109","(+/-5,397)","57,702","(+/-6,885)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","190,530","(+/-5,785)","184,501","(+/-2,438)","187,689","(+/-6,418)","191,856","(+/-2,467)","184,440","(+/-2,453)","166,521","(+/-4,097)","171,356","(+/-4,632)","191,091","(+/-6,367)","179,305","(+/-2,689)","177,907","(+/-2,589)","165,105","(+/-4,607)","191,587","(+/-3,197)","170,910","(+/-3,007)","166,619","(+/-1,435)","189,722","(+/-7,978)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","6,954","(+/-1,776)","8,738","(+/-2,461)","5,911","(+/-1,883)","8,065","(+/-1,942)","8,253","(+/-2,175)","6,128","(+/-1,498)","12,834","(+/-2,408)","5,563","(+/-1,742)","5,159","(+/-1,937)","6,159","(+/-1,948)","8,043","(+/-2,891)","17,010","(+/-3,094)","3,482","(+/-1,794)","9,675","(+/-2,604)","9,582","(+/-2,510)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",9.2,(+/-1.6),11.0,(+/-1.3),10.0,(+/-1.4),7.1,(+/-1.0),8.2,(+/-1.2),11.3,(+/-1.3),4.4,(+/-0.7),6.8,(+/-1.0),10.7,(+/-1.4),9.7,(+/-1.3),17.7,(+/-1.9),8.2,(+/-1.0),8.9,(+/-1.2),8.5,(+/-1.0),9.3,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",14.5,(+/-3.1),17.5,(+/-2.4),16.6,(+/-2.5),10.4,(+/-1.7),12.7,(+/-2.1),19.8,(+/-2.6),6.4,(+/-1.5),11.6,(+/-1.9),17.9,(+/-2.5),16.8,(+/-2.6),28.9,(+/-3.3),11.6,(+/-1.8),15.9,(+/-2.7),14.4,(+/-2.0),15.8,(+/-2.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",15.7,(+/-8.1),23.5,(+/-6.3),9.8,(+/-4.1),8.3,(+/-3.4),8.3,(+/-4.1),21.3,(+/-6.2),5.8,(+/-3.7),6.7,(+/-4.5),16.7,(+/-6.1),15.8,(+/-6.5),10.5,(+/-5.1),14.6,(+/-4.9),17.0,(+/-6.7),8.4,(+/-4.4),8.6,(+/-3.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.9,(+/-0.8),5.3,(+/-0.9),4.4,(+/-1.1),3.0,(+/-0.6),3.8,(+/-0.9),4.9,(+/-0.9),3.0,(+/-0.7),3.2,(+/-1.0),5.0,(+/-1.1),3.6,(+/-1.0),6.6,(+/-1.4),4.5,(+/-1.0),3.7,(+/-0.9),4.1,(+/-1.0),4.0,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.8,(+/-1.4),7.3,(+/-1.9),6.5,(+/-2.3),2.7,(+/-1.0),2.7,(+/-1.1),6.6,(+/-1.8),3.6,(+/-1.5),5.0,(+/-2.2),5.6,(+/-1.8),5.9,(+/-2.4),8.4,(+/-2.8),4.3,(+/-1.4),6.0,(+/-2.3),4.2,(+/-1.6),5.6,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",0.4,(+/-0.5),7.5,(+/-4.6),2.4,(+/-2.3),2.3,(+/-1.9),1.7,(+/-1.5),3.9,(+/-3.5),1.6,(+/-1.3),5.2,(+/-5.6),1.3,(+/-2.0),3.0,(+/-4.7),2.0,(+/-1.9),4.2,(+/-3.5),7.2,(+/-6.7),1.7,(+/-1.9),3.5,(+/-2.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",34.4,(+/-7.5),34.2,(+/-5.1),24.2,(+/-3.6),25.9,(+/-3.9),27.1,(+/-4.9),33.7,(+/-4.2),12.9,(+/-3.1),21.2,(+/-3.9),29.9,(+/-4.3),30.0,(+/-5.0),32.7,(+/-4.0),28.3,(+/-4.4),25.1,(+/-4.5),26.4,(+/-3.9),31.5,(+/-4.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",44.5,(+/-10.0),43.9,(+/-6.8),33.0,(+/-4.6),33.1,(+/-5.8),36.7,(+/-6.9),46.0,(+/-5.8),19.0,(+/-5.2),30.7,(+/-6.4),40.9,(+/-6.1),42.3,(+/-7.2),44.8,(+/-5.4),35.7,(+/-6.5),36.1,(+/-7.0),43.3,(+/-6.4),44.2,(+/-6.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",62.6,(+/-18.8),60.4,(+/-14.9),23.0,(+/-11.1),31.8,(+/-14.9),51.3,(+/-22.2),58.9,(+/-14.2),35.0,(+/-27.3),19.7,(+/-11.8),42.0,(+/-13.3),46.7,(+/-20.7),24.7,(+/-14.8),49.2,(+/-15.3),50.2,(+/-17.4),34.3,(+/-15.9),36.3,(+/-15.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",14.2,(+/-1.3),14.9,(+/-1.1),16.4,(+/-1.5),10.4,(+/-1.0),12.0,(+/-0.9),16.2,(+/-1.3),7.3,(+/-0.8),11.1,(+/-1.2),15.0,(+/-1.1),13.4,(+/-1.0),22.1,(+/-1.5),11.5,(+/-0.7),12.6,(+/-1.1),12.5,(+/-0.9),12.2,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",15.5,(+/-2.9),18.8,(+/-2.8),22.9,(+/-4.2),13.2,(+/-2.3),15.6,(+/-2.3),24.5,(+/-3.0),8.0,(+/-1.9),14.4,(+/-2.6),19.2,(+/-2.6),17.7,(+/-2.3),33.8,(+/-3.6),11.4,(+/-1.8),17.8,(+/-2.9),16.8,(+/-2.4),18.0,(+/-2.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",15.3,(+/-2.9),18.6,(+/-2.7),22.7,(+/-4.2),12.6,(+/-2.2),15.2,(+/-2.2),24.0,(+/-3.1),7.5,(+/-2.0),14.3,(+/-2.6),18.8,(+/-2.5),17.5,(+/-2.3),33.5,(+/-3.6),11.0,(+/-1.8),17.3,(+/-2.8),16.4,(+/-2.4),17.4,(+/-2.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",18.1,(+/-5.6),25.0,(+/-4.8),20.6,(+/-4.8),13.3,(+/-3.4),17.1,(+/-3.4),26.2,(+/-4.9),8.9,(+/-3.3),14.4,(+/-4.2),21.9,(+/-4.2),19.2,(+/-5.4),33.5,(+/-6.1),14.7,(+/-3.8),19.2,(+/-4.3),18.3,(+/-4.7),15.1,(+/-3.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",14.4,(+/-3.5),16.3,(+/-2.9),23.4,(+/-4.6),12.4,(+/-2.3),14.5,(+/-2.4),23.2,(+/-3.4),7.0,(+/-2.0),14.3,(+/-2.8),17.7,(+/-2.7),16.9,(+/-2.7),33.5,(+/-3.8),9.8,(+/-1.7),16.6,(+/-3.2),15.8,(+/-2.7),18.4,(+/-2.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",13.9,(+/-1.0),13.8,(+/-0.9),14.4,(+/-1.0),9.5,(+/-0.8),11.0,(+/-0.7),14.0,(+/-1.1),7.2,(+/-0.7),10.0,(+/-1.1),13.8,(+/-1.0),12.1,(+/-0.9),19.0,(+/-1.3),11.5,(+/-0.7),11.2,(+/-0.8),11.4,(+/-0.8),10.5,(+/-1.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",11.8,(+/-1.7),11.9,(+/-1.6),10.0,(+/-1.7),9.0,(+/-1.3),11.2,(+/-1.3),11.5,(+/-1.4),9.2,(+/-1.4),6.2,(+/-1.0),11.8,(+/-1.4),10.3,(+/-1.4),15.0,(+/-1.7),11.2,(+/-1.5),7.5,(+/-1.0),9.3,(+/-1.2),8.5,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",9.5,(+/-1.6),11.4,(+/-1.3),12.9,(+/-2.0),7.8,(+/-1.1),8.7,(+/-1.2),12.9,(+/-1.5),4.6,(+/-0.9),7.9,(+/-1.3),11.3,(+/-1.4),10.2,(+/-1.2),19.8,(+/-2.0),7.7,(+/-0.9),9.5,(+/-1.3),9.0,(+/-1.1),9.8,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",28.7,(+/-2.0),30.2,(+/-2.2),24.6,(+/-1.7),21.4,(+/-2.0),24.1,(+/-1.6),28.0,(+/-2.1),19.3,(+/-1.7),25.6,(+/-3.0),26.6,(+/-2.3),23.1,(+/-1.9),27.2,(+/-1.8),29.5,(+/-2.0),23.0,(+/-1.8),24.6,(+/-2.0),20.8,(+/-2.0)
Education,"School Enrollment","Population 3 years and over enrolled in school","209,375","(+/-7,058)","167,128","(+/-4,124)","213,203","(+/-7,284)","180,465","(+/-4,145)","190,599","(+/-4,729)","160,234","(+/-4,458)","170,425","(+/-5,278)","189,743","(+/-6,939)","177,359","(+/-4,486)","186,023","(+/-5,494)","176,832","(+/-6,915)","182,793","(+/-4,442)","173,772","(+/-5,143)","162,786","(+/-4,687)","167,226","(+/-7,988)"
Education,"School Enrollment","Nursery school, preschool","12,066","(+/-2,364)","11,264","(+/-2,108)","10,884","(+/-1,641)","10,824","(+/-1,426)","13,290","(+/-2,046)","9,004","(+/-1,465)","11,297","(+/-1,602)","12,485","(+/-2,038)","11,658","(+/-2,335)","10,038","(+/-1,550)","13,373","(+/-2,302)","10,955","(+/-1,598)","9,536","(+/-1,788)","8,193","(+/-1,500)","10,935","(+/-1,742)"
Education,"School Enrollment",Kindergarten,"8,649","(+/-2,004)","10,184","(+/-1,797)","11,706","(+/-2,041)","9,808","(+/-1,606)","8,995","(+/-1,417)","8,676","(+/-1,335)","7,609","(+/-1,423)","11,909","(+/-2,299)","8,480","(+/-1,518)","11,057","(+/-2,400)","8,199","(+/-1,722)","9,126","(+/-1,439)","9,299","(+/-1,596)","8,422","(+/-1,628)","8,828","(+/-1,803)"
Education,"School Enrollment","Elementary school (grades 1-8)","80,743","(+/-4,276)","76,320","(+/-3,056)","79,075","(+/-4,718)","80,171","(+/-2,710)","76,137","(+/-2,439)","69,543","(+/-3,063)","75,184","(+/-3,090)","76,907","(+/-4,148)","74,886","(+/-2,182)","75,795","(+/-2,596)","68,588","(+/-2,968)","77,638","(+/-3,298)","73,995","(+/-2,700)","69,812","(+/-2,390)","78,109","(+/-5,568)"
Education,"School Enrollment","High school (grades 9-12)","47,073","(+/-3,217)","41,117","(+/-1,933)","38,189","(+/-3,155)","45,912","(+/-2,398)","41,592","(+/-2,084)","39,954","(+/-2,257)","37,988","(+/-2,671)","39,859","(+/-3,302)","42,460","(+/-2,458)","33,963","(+/-2,059)","37,032","(+/-3,323)","42,369","(+/-2,351)","37,788","(+/-2,291)","35,902","(+/-1,888)","38,285","(+/-3,354)"
Education,"School Enrollment","College or graduate school","60,844","(+/-4,748)","28,243","(+/-2,993)","73,349","(+/-4,372)","33,750","(+/-3,159)","50,585","(+/-3,508)","33,057","(+/-2,714)","38,347","(+/-3,158)","48,583","(+/-4,703)","39,875","(+/-3,698)","55,170","(+/-4,626)","49,640","(+/-4,615)","42,705","(+/-2,521)","43,154","(+/-3,888)","40,457","(+/-3,801)","31,069","(+/-3,687)"
Education,"Educational Attainment","Population 25 years and over","533,158","(+/-5,433)","548,656","(+/-2,676)","519,224","(+/-8,478)","547,459","(+/-3,600)","535,391","(+/-3,051)","557,548","(+/-4,004)","554,097","(+/-6,411)","529,488","(+/-5,734)","544,400","(+/-2,581)","537,806","(+/-2,556)","539,932","(+/-6,141)","533,997","(+/-3,759)","552,007","(+/-2,882)","553,345","(+/-1,792)","544,421","(+/-8,759)"
Education,"Educational Attainment","Less than 9th grade","9,908","(+/-1,630)","16,142","(+/-2,047)","14,417","(+/-2,663)","8,191","(+/-1,345)","11,866","(+/-1,767)","13,913","(+/-1,828)","16,637","(+/-2,831)","15,780","(+/-2,830)","11,023","(+/-1,868)","11,501","(+/-2,007)","14,772","(+/-2,047)","25,558","(+/-3,073)","11,149","(+/-2,040)","18,296","(+/-2,460)","15,575","(+/-2,679)"
Education,"Educational Attainment","9th to 12th grade, no diploma","26,093","(+/-2,540)","39,292","(+/-3,257)","27,407","(+/-3,272)","29,473","(+/-2,699)","28,269","(+/-2,548)","37,371","(+/-3,079)","18,345","(+/-2,527)","30,495","(+/-4,020)","28,244","(+/-2,944)","28,297","(+/-3,644)","44,046","(+/-4,718)","28,353","(+/-2,772)","28,388","(+/-3,297)","24,893","(+/-2,676)","36,739","(+/-3,770)"
Education,"Educational Attainment","High school graduate (includes equivalency)","118,696","(+/-6,116)","229,561","(+/-6,968)","115,268","(+/-6,001)","192,796","(+/-6,298)","198,570","(+/-4,719)","224,832","(+/-6,238)","157,110","(+/-6,286)","172,689","(+/-6,892)","179,950","(+/-6,206)","145,738","(+/-5,577)","144,639","(+/-7,318)","194,771","(+/-5,738)","165,809","(+/-6,362)","192,184","(+/-6,185)","165,107","(+/-6,412)"
Education,"Educational Attainment","Some college, no degree","91,110","(+/-5,901)","97,955","(+/-5,589)","91,139","(+/-5,665)","104,779","(+/-5,242)","102,713","(+/-4,428)","99,870","(+/-4,285)","101,225","(+/-4,865)","99,454","(+/-5,862)","121,061","(+/-5,445)","121,450","(+/-6,392)","109,201","(+/-6,677)","92,629","(+/-5,019)","106,305","(+/-5,322)","104,686","(+/-5,469)","106,043","(+/-5,716)"
Education,"Educational Attainment","Associate's degree","38,711","(+/-3,201)","49,811","(+/-3,955)","35,301","(+/-3,096)","48,818","(+/-3,367)","55,370","(+/-3,436)","57,976","(+/-3,922)","45,743","(+/-2,919)","48,710","(+/-3,526)","54,277","(+/-3,877)","52,191","(+/-4,051)","42,805","(+/-3,926)","46,729","(+/-3,592)","48,520","(+/-3,902)","48,466","(+/-3,128)","39,349","(+/-3,503)"
Education,"Educational Attainment","Bachelor's degree","140,454","(+/-6,416)","72,380","(+/-4,238)","141,357","(+/-7,403)","102,858","(+/-5,474)","85,135","(+/-4,398)","77,985","(+/-4,607)","129,622","(+/-4,652)","102,324","(+/-5,818)","93,404","(+/-4,378)","97,755","(+/-4,326)","101,984","(+/-5,852)","95,800","(+/-4,805)","118,004","(+/-5,737)","105,211","(+/-5,232)","114,262","(+/-5,582)"
Education,"Educational Attainment","Graduate or professional degree","108,186","(+/-5,076)","43,515","(+/-3,079)","94,335","(+/-4,565)","60,544","(+/-4,708)","53,468","(+/-3,171)","45,601","(+/-3,471)","85,415","(+/-4,988)","60,036","(+/-4,235)","56,441","(+/-3,766)","80,874","(+/-4,959)","82,485","(+/-4,212)","50,157","(+/-2,963)","73,832","(+/-5,250)","59,609","(+/-4,564)","67,346","(+/-4,497)"
Education,"Educational Attainment","Percent high school graduate or higher",93.2,(+/-0.6),89.9,(+/-0.7),91.9,(+/-0.8),93.1,(+/-0.6),92.5,(+/-0.6),90.8,(+/-0.6),93.7,(+/-0.7),91.3,(+/-0.9),92.8,(+/-0.6),92.6,(+/-0.7),89.1,(+/-0.9),89.9,(+/-0.8),92.8,(+/-0.7),92.2,(+/-0.6),90.4,(+/-0.8)
Education,"Educational Attainment","Percent bachelor's degree or higher",46.6,(+/-1.2),21.1,(+/-1.0),45.4,(+/-1.1),29.8,(+/-1.2),25.9,(+/-1.0),22.2,(+/-1.0),38.8,(+/-1.1),30.7,(+/-1.3),27.5,(+/-1.0),33.2,(+/-1.1),34.2,(+/-1.1),27.3,(+/-1.0),34.8,(+/-1.3),29.8,(+/-1.2),33.4,(+/-1.2)

"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag","District 08 Estimate","District 08 Flag","District 09 Estimate","District 09 Flag","District 10 Estimate","District 10 Flag","District 11 Estimate","District 11 Flag","District 12 Estimate","District 12 Flag","District 13 Estimate","District 13 Flag","District 14 Estimate","District 14 Flag","District 15 Estimate","District 15 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","456,513",G,"184,714",G,"409,314",G,"292,234",G,"245,664",G,"234,642",G,"344,592",G,"282,764",G,"326,059",G,"309,185",G,"383,095",G,"208,309",G,"341,588",G,"235,531",G,"320,166",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",11,J,256,H,30,J,65,H,158,H,42,J,52,J,69,H,31,G,17,J,10,J,130,H,39,J,156,G,118,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",44,H,340,H,36,H,148,G,241,G,"3,393",H,243,G,225,J,451,G,78,H,227,J,"1,691",H,286,H,494,H,166,G
Business,"Paid employees for pay period including March 12",Utilities,"1,513",J,"1,159",G,"3,160",J,857,J,773,H,"1,591",H,523,J,446,J,"1,349",H,"1,010",H,"1,208",J,"1,178",H,"3,774",J,"1,082",J,"3,039",H
Business,"Paid employees for pay period including March 12",Construction,"17,455",G,"9,107",G,"16,981",G,"11,138",G,"10,825",G,"11,351",G,"16,451",G,"16,209",G,"15,131",G,"10,174",G,"11,110",G,"12,102",G,"15,096",G,"10,212",G,"14,216",G
Business,"Paid employees for pay period including March 12",Manufacturing,"40,629",G,"27,527",G,"14,441",G,"71,466",G,"65,724",G,"39,736",G,"47,845",G,"46,147",G,"67,443",G,"35,471",G,"34,141",G,"39,200",G,"37,422",G,"52,994",G,"44,125",G
Business,"Paid employees for pay period including March 12","Wholesale trade","21,080",G,"5,844",G,"12,864",G,"11,579",G,"10,616",G,"9,174",G,"23,583",G,"21,463",G,"14,123",G,"11,932",G,"16,913",G,"6,949",G,"19,160",G,"11,417",G,"21,377",G
Business,"Paid employees for pay period including March 12","Retail trade","33,063",G,"30,793",G,"38,507",G,"37,330",G,"31,573",G,"34,083",G,"43,212",G,"36,814",G,"39,986",G,"37,788",G,"36,044",G,"30,526",G,"44,589",G,"38,289",G,"39,213",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","10,931",G,"11,394",H,"21,272",G,"11,512",G,"13,675",G,"10,634",G,"11,274",G,"18,387",G,"15,675",G,"12,070",G,"10,395",G,"12,875",H,"14,571",G,"6,774",G,"36,197",G
Business,"Paid employees for pay period including March 12",Information,"13,474",G,"2,094",G,"9,290",H,"3,410",G,"1,708",G,"2,438",G,"18,334",G,"3,402",G,"3,959",H,"7,493",H,"6,289",H,"1,980",H,"6,637",G,"1,571",G,"5,871",G
Business,"Paid employees for pay period including March 12","Finance and insurance","32,739",G,"5,683",G,"39,919",G,"17,024",H,"6,360",G,"5,485",G,"21,379",G,"14,535",G,"8,678",G,"13,036",G,"28,701",H,"6,391",G,"12,613",G,"4,277",G,"18,967",H
